shipmentid,shipmentdestinationdesc,shipmentorigindesc,shipmentcarrierdesc,shipmentrootcauseoftempexcursiondesc,shipmentcontainerdesc,shipmentitemproductdesc,shipmentshippeddate,tempminvalue,tempmaxvalue,tempmeanvalue,Alarm Triggered,Count of alarms,shipmentpackoutdesc,route
1,ISRAEL,NETHERLANDS,abc,,Box1,Product1,4/25/2016 14:18,15.9,23.4,19.44,FALSE,0,,NETHERLANDS -> ISRAEL
2,OHIO,GEORGIA,abc,,Box2,Product2,1/10/2017 17:07,19.4,23.8,19.88,TRUE,1,,GEORGIA -> OHIO
3,ISRAEL,NETHERLANDS,xyz,,Box3,Product3,4/21/2016 9:12,19.2,23.2,19.73,FALSE,0,,NETHERLANDS -> ISRAEL
4,INDONESIA,NORTH CAROLINA,xyz,,Box4,Product1,4/6/2016 10:43,19.5,23.1,19.94,TRUE,1,,NORTH CAROLINA -> INDONESIA
5,AUSTRALIA,NETHERLANDS,ppg,,Box5,Product2,1/10/2017 5:43,-4.075,13.4,1.205,TRUE,1,,NETHERLANDS -> AUSTRALIA
6,ISRAEL,BELGIUM,ppj,,Box6,Product3,4/22/2016 14:54,5.915780142,11.35035461,7.489680851,FALSE,0,,BELGIUM -> ISRAEL
7,SWITZERLAND,BELGIUM,ppy,,Box7,Product1,4/28/2016 15:05,8.2,22.7,19.59,FALSE,0,,BELGIUM -> SWITZERLAND
8,SWITZERLAND,BELGIUM,carrier1,,Box1,Product2,4/28/2016 15:04,6,30.7,22.7,FALSE,0,,BELGIUM -> SWITZERLAND
9,SWITZERLAND,BELGIUM,carrier2,,Box2,Product3,4/28/2016 15:02,7.397037037,16.03777778,10.544,FALSE,0,,BELGIUM -> SWITZERLAND
10,SWITZERLAND,BELGIUM,carrier3,,Box3,Product1,4/28/2016 15:06,19.1,21,19.86,FALSE,0,,BELGIUM -> SWITZERLAND
11,BELGIUM,CANADA,carrier4,,Box4,Product2,4/5/2016 18:50,8.25,21.35,8.695,TRUE,1,,CANADA -> BELGIUM
12,BELGIUM,CANADA,carrier5,,Box5,Product3,4/5/2016 18:54,8.25,21.35,8.695,TRUE,1,,CANADA -> BELGIUM
13,OMAN,BELGIUM,carrier6,,Box6,Product1,4/25/2016 17:09,1.633333333,5.733333333,2.756666667,FALSE,0,,BELGIUM -> OMAN
14,OMAN,BELGIUM,carrier7,,Box7,Product2,4/25/2016 17:11,1.05,6.3,2.07,FALSE,0,,BELGIUM -> OMAN
15,LITHUANIA,NETHERLANDS,carrier8,,Box1,Product3,4/22/2016 8:54,4,7.8,5.485,FALSE,0,,NETHERLANDS -> LITHUANIA
16,UAE,BELGIUM,carrier9,,Box2,Product1,3/15/2016 19:59,10.2,39.7,17.4,FALSE,0,,BELGIUM -> UAE
17,UAE,BELGIUM,carrier10,,Box3,Product2,3/3/2016 14:49,10.5,27.6,20.66,TRUE,1,,BELGIUM -> UAE
18,UAE,BELGIUM,carrier11,,Box4,Product3,2/20/2016 5:20,13.2,24.2,17,FALSE,0,,BELGIUM -> UAE
19,UAE,BELGIUM,carrier12,,Box5,Product4,1/6/2016 6:53,14.1,25,15.74,TRUE,1,,BELGIUM -> UAE
